geometry,moreinfo,statname,dwrabbrev,wdid,usgsstatid,datasource,structtype,stattype,statstatus,variable,stage,amount,units,flag,div,wd,county,utmx,utmy,locaccuracy,latdecdeg,longdecdeg,datetime
"X: -12009186.2677099, Y: 4478091.88320736, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09361500,ANIMAS RIVER AT DURANGO,ANIDURCO,,9361500,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,135,CFS,,7,30,LA PLATA,244629.3,4129732,User supplied,37.279169,-107.880345,8/13/2018 12:30
"X: -11573622.6809655, Y: 4594765.34197305, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07119500,APISHAPA RIVER NEAR FOWLER,APIFOWCO,,7119500,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,19,CFS,,2,17,OTERO,590508.4,4218356.6,User supplied,38.1085,-103.967611,8/13/2018 12:15
"X: -11664463.3864967, Y: 4917030.23329117, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BIGLASCO&MTYPE=DISCHRG,BIG THOMPSON RIVER AT MOUTH NEAR LA SALLE,BIGLASCO,403105,6744000,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,1.4,52,CFS,,1,4,WELD,518373,4466699.5,,40.35066,-104.783657,8/13/2018 12:30
"X: -12038420.5658249, Y: 4462198.0266185, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=HABREDCO&MTYPE=DISCHRG,HAY GULCH BELOW RED MESA WARD RESERVOIR,HABREDCO,3300561,,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,-0.04,0,CFS,,7,33,LA PLATA,220920.7,4117856.3,,37.165479,-108.142968,8/13/2018 12:30
"X: -11783687.1497534, Y: 4480809.58706472, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=NORDSCCO&MTYPE=DISCHRG,SOUTH CHANNEL NORTON DRAIN DITCH NEAR LA SAUSES,NORDSCCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.18,0.63,CFS,,3,22,CONEJOS,424254,4128339.3,User supplied,37.298595,-105.854663,8/13/2018 12:30
"X: -12001665.310575, Y: 4520243.48478339, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=ELACASCO&MTYPE=DISCHRG3,ELBERT CREEK ABOVE CASCADE RESERVOIR,ELACASCO,3001931,,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG3,0.16,0.25,CFS,,7,30,LA PLATA,251617.1,4162921,,37.579864,-107.812795,8/13/2018 12:15
"X: -11779269.0090667, Y: 4870504.0669609, Z: NaN",http://www.northernwater.org/WaterProjects/WestSlopeWaterData.aspx,NORTH INLET CREEK,NORINLET,,WS1921,Northern Colorado Water Conservancy District (Data Provider),,Stream,Active,DISCHRG,,13.34,CFS,,5,51,GRAND,430466.4,4431558,User supplied,40.031378,-105.814964,8/13/2018 12:00
"X: -12078392.4640413, Y: 4613975.37407034, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09174600,SAN MIGUEL RIVER AT BROOKS BRIDGE NEAR NUCLA,SANBROCO,,9174600,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,6.25,CFS,,4,60,MONTROSE,193507.9,4238707.4,User supplied,38.244157,-108.502034,8/13/2018 12:45
"X: -11835350.131936, Y: 4553096.88966511, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LAGLAGCO&MTYPE=DISCHRG,LA GARITA CREEK NEAR LA GARITA,LAGLAGCO,,8231000,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.36,2.52,CFS,,3,27,SAGUACHE,383922,4185928.5,,37.813381,-106.318759,8/13/2018 12:30
"X: -11757765.9743014, Y: 4717676.40001982, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SPIRESCO&MTYPE=STORAGE,"SPINNEY MOUNTAIN RESERVOIR NEAR HARTSEL, CO",SPIRESCO,,SPIRESCO,Co. Division of Water Resources,,Stream,Active,STORAGE,8684.58,49030,AF,,1,23,PARK,446136,4313864,,38.972103,-105.621809,8/13/2018 12:15
"X: -11997929.0518739, Y: 4626353.41881424, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09147500,UNCOMPAHGRE RIVER AT COLONA,UNCCOLCO,,9147500,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,160,CFS,,4,68,OURAY,257072,4246245,User supplied,38.331431,-107.779225,8/13/2018 12:15
"X: -11693515.8675886, Y: 4891068.10163778, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=UNIRESCO&MTYPE=DISCHRG,UNION RESERVOIR,UNIRESCO,503905,UNIRESCO,Cooperative SDR Program of CDWR & NCWCD,Reservoir,Stream,Active,DISCHRG,0.71,22.77,CFS,,1,5,WELD,496200,4446924,,40.172678,-105.04463,8/13/2018 12:00
"X: -12043508.4780226, Y: 4439064.95600177, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LAPMEXCO&MTYPE=DISCHRG,LA PLATA RIVER AT THE COLORADO-NEW MEXICO STATELINE,LAPMEXCO,,9366500,Co. Division of Water Resources,,Stream,Active,DISCHRG,3.4,2.05,CFS,,7,33,LA PLATA,216243.1,4099593.1,,36.999694,-108.188667,8/13/2018 12:30
"X: -11971707.6407739, Y: 4505875.72228244, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09352900,VALLECITO CREEK NEAR BAYFIELD,VALBAYCO,,9352900,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,21.7,CFS,,7,31,LA PLATA,275078.1,4150884.2,User supplied,37.477501,-107.543669,8/13/2018 12:45
"X: -11943685.8298873, Y: 4577217.90716742, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09123450,"LAKE FORK BLW LAKE SAN CRISTOBAL NR LAKE CITY, CO",LAKFBLCO,,9123450,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,19.6,CFS,,4,62,HINSDALE,298717.5,4206558.5,,37.984363,-107.291945,8/13/2018 11:45
"X: -11889143.646006, Y: 4747487.07275982, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09073400,ROARING FORK RIVER NEAR ASPEN,ROAASPCO,,9073400,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,25.4,CFS,,5,38,PITKIN,344353.9,4338296.9,User supplied,39.179988,-106.801983,8/13/2018 12:30
"X: -11707624.304803, Y: 4953598.83822857, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=HOROUTCO&MTYPE=DISCHRG,HORSETOOTH RESERVOIR (OUTFLOW),HOROUTCO,303732,,NCWCD/Bureau of Reclamation (Station Cooperators),Reservoir,Stream,Active,DISCHRG,,475,CFS,,1,3,LARIMER,485501,4494428.2,User supplied,40.600534,-105.171368,8/13/2018 12:15
"X: -11697949.8664328, Y: 4689050.32926387, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=VICBPRCO&MTYPE=STORAGE,VICTOR BISON PARK RESERVOIR,VICBPRCO,,VICBPRCO,Co. Division of Water Resources,,Stream,Active,STORAGE,7.54,224,AF,,2,12,TELLER,492662.9,4291467,,38.771891,-105.084462,8/13/2018 12:30
"X: -11891028.688017, Y: 4749914.36409478, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09074500,HUNTER CREEK AT ASPEN,HUNATACO,,9074500,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,0.45,CFS,,5,38,PITKIN,342928.8,4340201.8,,39.196889,-106.818917,8/13/2018 12:30
"X: -11785053.0021722, Y: 4775356.11801548, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SCHFLMCO&MTYPE=DISCHRG,SCHATTINGER FLUME ABOVE CONFLUENCE WITH MICHIGAN CREEK,SCHFLMCO,2302916,,City of Aurora  (Station cooperator),Stream Gage,Stream,No gag,DISCHRG,0.1,0.42,CFS,,1,23,PARK,425327.7,4358615.5,User supplied,39.373795,-105.866929,7/31/2018 9:45
"X: -11755600.3654023, Y: 4753481.41654147, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=TARTARCO&MTYPE=DISCHRG,TARRYALL CREEK BELOW TARRYALL RESERVOIR,TARTARCO,2302935,,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,1.49,10.2,CFS,,1,23,PARK,448004.9,4341554,User supplied,39.221723,-105.602354,8/13/2018 12:30
"X: -11805373.4841264, Y: 4803168.7035512, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09046600,"BLUE RIVER NEAR DILLON, CO.",BLUNDICO,,9046600,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,39.4,CFS,,5,36,SUMMIT,409853.4,4380187.6,User supplied,39.566653,-106.049463,8/13/2018 12:00
"X: -11495654.3565156, Y: 4944561.75331981, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PLAATWCO&MTYPE=DISCHRG,SOUTH PLATTE RIVER AT ATWOOD CO,PLAATWCO,6402895,,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,2.31,46.8,CFS,,1,64,LOGAN,646744.7,4489011.5,,40.538878,-103.267216,8/13/2018 12:30
"X: -11743830.8868066, Y: 4597035.48605633, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BELLN1CO&MTYPE=DISCHRG,W A BELL DITCH NO 1,BELLN1CO,,BELLN1CO,Co. Division of Water Resources,,Stream,Active,DISCHRG,-0.02,0,CFS,,2,13,CUSTER,456472,4219750,,,,8/13/2018 12:30
"X: -11785088.2552641, Y: 4886969.13200431, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=COLGBYCO&MTYPE=DISCHRG,COLORADO RIVER BELOW LAKE GRANBY,COLGBYCO,,9019000,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.78,96.5,CFS,,5,51,GRAND,426128.6,4444160,,40.144543,-105.867244,7/30/2018 13:00
"X: -11505249.7224101, Y: 4591407.38910894, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=HRC194CO&MTYPE=DISCHRG,HORSE CREEK AT HIGHWAY 194,HRC194CO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.99,4.76,CFS,,2,17,BENT,644404.7,4216499.5,,38.084771,-103.353413,8/13/2018 12:15
"X: -11686659.6656868, Y: 4784654.23653773, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06709000,PLUM CREEK NEAR SEDALIA,PLUSEDCO,801809,6709000,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,2.42,CFS,,1,8,DOUGLAS,501459.5,4365419.6,User supplied,39.438322,-104.983039,8/13/2018 12:00
"X: -11426757.6033573, Y: 4610565.33958025, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=THURINCO&MTYPE=DISCHRG,THURSTON RESERVOIR INLET CHANNEL,THURINCO,,THURINCO,Co. Division of Water Resources,,Stream,Active,DISCHRG,-2.56,0,CFS,,2,67,PROWERS,705868,4232850,,38.220093,-102.648301,8/13/2018 12:15
"X: -11776272.1916836, Y: 4598087.94199396, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=COCRMICO&MTYPE=DISCHRG,COTTON CREEK NEAR MINERAL HOT SPRINGS,COCRMICO,,8226700,Co. Division of Water Resources,,Stream,Active,DISCHRG,2.73,4.34,CFS,,3,25,SAGUACHE,430935.6,4220752,,38.131987,-105.788048,8/13/2018 12:45
"X: -11807742.0467209, Y: 4776375.60045792, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=HSPCOMCO&MTYPE=DISCHRG4,HOOSIER PASS TUNNEL AT INLET (NORTH PORTAL),HSPCOMCO,,,City of Colorado Springs  (Station cooperator),,Stream,Active,DISCHRG4,-0.02,-999,CFS,B,5,36,SUMMIT,407780.7,4359589.5,User supplied,39.380874,-106.070748,8/13/2018 12:00
"X: -11744701.78161, Y: 4860372.55058178, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BOCMIDCO&MTYPE=DISCHRG,MIDDLE BOULDER CREEK AT NEDERLAND,BOCMIDCO,603607,6725500,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,0.89,18.6,CFS,,1,6,BOULDER,456916.9,4423623.1,User supplied,39.961655,-105.50444,8/13/2018 12:15
"X: -11800634.499909, Y: 4453258.38135731, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CONCONCO&MTYPE=DISCHRG,CONEJOS RIVER NEAR CONEJOS,CONCONCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,2.32,0,CFS,,3,22,CONEJOS,410528.5,4106601.3,User supplied,37.101457,-106.006909,8/13/2018 12:30
"X: -11858949.4487577, Y: 4756799.72601936, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FRYIVLCO&MTYPE=DISCHRG,FRYINGPAN RIVER NEAR IVANHOE LAKE,FRYIVLCO,,9077200,Bureau of Reclamation  (Station cooperator),,Stream,Active,DISCHRG,1.04,10.3,CFS,,5,38,PITKIN,367904.9,4345060,User supplied,39.244812,-106.530754,8/13/2018 12:45
"X: -11718862.3099501, Y: 4751591.16467394, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CHERESCO&MTYPE=DISCHRG,CHEESMAN RESERVOIR,CHERESCO,8003550,,Co. Division of Water Resources,Reservoir,Stream,Active,DISCHRG,195.97,0,CFS,,1,80,JEFFERSON,476488.6,4339956.5,User supplied,39.208562,-105.272327,8/13/2018 12:15
"X: -11779647.1159486, Y: 4725083.15417977, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FOUHARCO&MTYPE=DISCHRG,FOUR MILE CREEK NEAR HARTSEL,FOUHARCO,2302901,,City of Aurora  (Station cooperator),Stream Gage,Stream,No gag,DISCHRG,1.3,2.02,CFS,,1,23,PARK,429160,4319737,User supplied,39.023813,-105.81837,8/10/2018 8:45
"X: -11867683.0626487, Y: 4814848.25886199, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09067200,LAKE CREEK NEAR EDWARDS,LAKNEDCO,,9067200,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,15,CFS,,5,37,EAGLE,361932,4389870.1,User supplied,39.647486,-106.6092,8/13/2018 12:45
"X: -11887435.8660891, Y: 4901685.74681963, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=MORBSCCO&MTYPE=DISCHRG,MORRISON CREEK BELOW SILVER CREEK,MORBSCCO,5809001,,Co. Division of Water Resources,Minimum Flow,Stream,Active,DISCHRG,1.42,2.27,CFS,,6,58,ROUTT,348036.2,4456539,,40.245525,-106.786656,8/13/2018 12:45
"X: -11649812.7828972, Y: 4534444.68292449, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CRHW10CO&MTYPE=DISCHRG,CUCHARAS RIVER AT HIGHWAY 10,CRHW10CO,,CRHW10CO,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.34,0,CFS,,2,16,HUERFANO,530682,4170467,,,,8/13/2018 12:45
"X: -11644697.2185803, Y: 4615315.95331322, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07099970,ARKANSAS RIVER AT MOFFAT STREET AT PUEBLO,ARKMOFCO,,7099970,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,45.9,CFS,,2,14,PUEBLO,534465.3,4234027.9,User supplied,38.253614,-104.606085,8/13/2018 11:45
"X: -11507981.8543851, Y: 4595139.162143, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FLYAUGCO&MTYPE=DISCHRG,FORT LYON AUG STATION AT HORSE CREEK,FLYAUGCO,1700805,FLYAUGCO,Co. Division of Water Resources,Measuring Point,Stream,Site d,DISCHRG,-1.9,0,CFS,,2,17,BENT,642201,4219389,,38.111141,-103.37795,4/5/2018 14:30
"X: -11684961.0038025, Y: 4783350.3933902, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06708690,"WEST PLUM CREEK AT SEDALIA, CO",PLNRSDCO,801820,6708690,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,0,CFS,,1,8,DOUGLAS,502773,4364416,,39.429278,-104.967778,8/13/2018 12:30
"X: -11786275.7508283, Y: 4463829.79118188, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SANMANCO&MTYPE=DISCHRG,SAN ANTONIO RIVER NEAR MANASSA,SANMANCO,,8248500,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.07,0,CFS,,3,22,CONEJOS,422068.1,4114886,,37.177162,-105.877918,8/13/2018 12:30
"X: -11904614.2330743, Y: 4653305.90435442, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09119000,TOMICHI CREEK AT GUNNISON,TOMGUNCO,,9119000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,45,CFS,,4,28,GUNNISON,330794.6,4265421.2,User supplied,38.521111,-106.940958,8/13/2018 12:30
"X: -11536604.0828574, Y: 4572841.6547186, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CATAGCCO&MTYPE=DISCHRG,CATLIN AUGMENTATION STATION AT CROOKED ARROYO,CATAGCCO,,CATAGCCO,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.04,0.42,CFS,,2,17,OTERO,619916,4201520,,37.953371,-103.635068,8/13/2018 12:15
"X: -11684097.2620079, Y: 4838664.10910902, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=FISCOPCO&MTYPE=DISCHRG,FISHER DITCH DELIVERY TO CHEROKEE POWER PLANT,FISCOPCO,200565,FISCOPCO,Co. Division of Water Resources,Measuring Point,Stream,Active,DISCHRG,,6.91,CFS,,1,7,ADAMS,503421.9,4406894.5,,39.812023,-104.96003,8/13/2018 12:30
"X: -11767148.0149153, Y: 4486053.64800853, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=TRISEYCO&MTYPE=DISCHRG,TRINCHERA CREEK AT THE SEYFRIED SPLITTER,TRISEYCO,,TRISEYCO,Co. Division of Water Resources,,Stream,Active,DISCHRG,-0.39,0,CFS,,3,35,COSTILLA,437453,4132387,,37.336056,-105.706079,8/13/2018 12:30
"X: -12002760.961065, Y: 4532530.1683429, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09359080,CASCADE CR ABV CASCADE CR DIVERSION NR ROCKWOOD CO,CASACACO,,9359080,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,6.74,CFS,,7,30,SAN JUAN,251039.8,4172648.9,,37.667278,-107.822626,8/13/2018 12:30
"X: -11768488.5272709, Y: 4584278.95147591, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SANCRECO&MTYPE=DISCHRG,SAN ISABEL CREEK NEAR CRESTONE,SANCRECO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,3.9,1.04,CFS,,3,25,SAGUACHE,436979.9,4209868.5,User supplied,38.034342,-105.71813,8/13/2018 12:00
"X: -11822689.330691, Y: 4871165.44036416, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09038500,WILLIAMS FORK RIVER BELOW WILLIAMS FORK RESERVOIR,WILFORCO,,9038500,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,148,CFS,,5,51,GRAND,397192.9,4432440.3,User supplied,40.035928,-106.205014,8/13/2018 11:45
"X: -12086758.2154412, Y: 4519619.13078648, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=DOLBMCCO&MTYPE=DISCHRG,DOLORES RIVER BELOW MCPHEE RESERVOIR,DOLBMCCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.68,29.8,CFS,,7,71,MONTEZUMA,184077.5,4164726.3,,37.575416,-108.577191,8/13/2018 12:45
"X: -11710107.807046, Y: 4832359.15452304, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CLECROCO&MTYPE=DISCHRG,CLEAR CREEK AT CROKE CANAL DIVERSION,CLECROCO,702341,CLECROCO,Co. Division of Water Resources,Stream Gage,Stream,Rating,DISCHRG,-2.16,-888,CFS,M,1,7,JEFFERSON,483412,4402081.5,,39.768501,-105.193678,8/13/2018 12:15
"X: -11360299.6052718, Y: 4876038.48271062, Z: NaN",http://waterdata.usgs.gov/nwis/uv?06823000,NORTH FORK REPUBLICAN RIVER AT COLORADO-NEBRASKA,NRPSTLNE,6502900,6823000,U.S. Geological Survey (Data Provider),Stream Gage,Stream,Active,DISCHRG,,9.25,CFS,,1,65,,751464.4,4439631.2,User supplied,40.069435,-102.051298,8/13/2018 12:30
"X: -11893967.4595211, Y: 4673719.26589167, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09110000,TAYLOR RIVER AT ALMONT,TAYALMCO,,9110000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,274,CFS,,4,59,GUNNISON,339452.6,4281155.4,User supplied,38.664437,-106.845317,8/13/2018 12:15
"X: -11669159.5793578, Y: 4641969.11776026, Z: NaN",http://waterdata.usgs.gov/nwis/uv?382629104493000,TURKEY CR EAST SEEP BL TELLER RES NR STONE CITY,TUREASCO,1003608,3.82629E+14,U.S. Geological Survey (Data Provider),Reservoir,Stream,Active,DISCHRG,,0.04,CFS,,2,10,PUEBLO,515199.2,4254804.2,GPS,38.441389,-104.825833,8/13/2018 12:00
"X: -11927148.6474791, Y: 5012255.52945933, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09253000,LITTLE SNAKE RIVER NEAR SLATER,LSRSLACO,,9253000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,10.5,CFS,,6,54,ROUTT,319730.2,4540904.2,User supplied,40.99941,-107.143388,8/13/2018 11:45
"X: -11821299.2321616, Y: 4875067.43388796, Z: NaN",http://www.northernwater.org/WaterProjects/WestSlopeWaterData.aspx,COLORADO RIVER NEAR PARSHALL BELOW W.F. CONFLUENCE,COLPARCO,,WS1854,Northern Colorado Water Conservancy District (Data Provider),,Stream,Active,DISCHRG,4.04,310.91,CFS,,5,51,GRAND,398298.2,4435404.2,User supplied,40.062759,-106.192527,8/13/2018 12:00
"X: -11717708.5601447, Y: 4839894.76431433, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=RALCRKCO&MTYPE=DISCHRG,RALSTON CREEK ABOVE RALSTON RESERVOIR NEAR GOLDEN,RALCRKCO,702310,,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,-2.03,0,CFS,,1,7,JEFFERSON,477581,4407869,User supplied,39.820519,-105.261967,8/13/2018 12:00
"X: -11531983.1316542, Y: 4525651.32561814, Z: NaN",http://waterdata.usgs.gov/nwis/uv?07126485,PURGATOIRE RIVER AT ROCK CROSSING NEAR TIMPAS,PURRCKCO,,7126485,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,21.6,CFS,,2,19,LAS ANIMAS,624122.3,4164401.2,User supplied,37.618347,-103.593557,8/13/2018 12:30
"X: -11633742.1716085, Y: 4463177.8863099, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PURTRICO&MTYPE=DISCHRG,PURGATOIRE RIVER AT TRINIDAD,PURTRICO,,7124500,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.17,29.1,CFS,,2,19,LAS ANIMAS,543706.2,4114121,,37.172496,-104.507686,8/13/2018 12:15
"X: -12075146.1116448, Y: 4854360.82454624, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09306242,"CORRAL GULCH NEAR RANGELY, CO.",CORNRACO,,9306242,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,0.08,CFS,,6,43,RIO BLANCO,203179.7,4424682.3,User supplied,39.92025,-108.472872,8/13/2018 11:45
"X: -11781684.9714096, Y: 4920100.91530738, Z: NaN",http://www.northernwater.org/WaterProjects/WestSlopeWaterData.aspx,GRAND LAKE RESERVOIR,GLARESCO,,WR1924,Northern Colorado Water Conservancy District (Data Provider),,Stream,Active,STORAGE,8366.58,799.1,AF,,5,51,GRAND,428970.7,4469346,,40.371668,-105.836666,8/13/2018 12:15
"X: -11905996.7216515, Y: 4700446.0848723, Z: NaN",http://waterdata.usgs.gov/nwis/uv?385106106571000,SLATE R AB BAXTER GL @HWY 135 NR CRESTED BUTTE,SLABAXCO,,3.85106E+14,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,5.91,CFS,,4,59,GUNNISON,330493.9,4302128.2,User supplied,38.851659,-106.953377,8/13/2018 12:15
"X: -11804565.1856081, Y: 4799224.68355577, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BLUNINCO&MTYPE=DISCHRG,BLUE RIVER AT HIGHWAY 9 BRIDGE BELOW BRECKENRIDGE,BLUNINCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,0.89,34.1,CFS,,5,36,SUMMIT,410442,4377148.5,,39.539337,-106.042213,8/13/2018 12:30
"X: -11817805.9317276, Y: 4861914.40100654, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BIGLKDCO&MTYPE=DISCHRG,BIG LAKE DITCH NEAR WILLIAMS FORK RESERVOIR,BIGLKDCO,,BIGLKDCO,Denver Water Board (Station cooperator),,Stream,Active,DISCHRG,1.5,30.8,CFS,,5,51,GRAND,400843.6,4425325,,39.972277,-106.161152,8/13/2018 12:15
"X: -11675174.6012895, Y: 4903464.4872388, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=SVCPLACO&MTYPE=DISCHRG,"SAINT VRAIN CREEK AT MOUTH NEAR PLATTEVILLE, CO",SVCPLACO,503208,6731000,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,0.99,85.8,CFS,,1,5,WELD,510215.8,4456368.5,,40.257716,-104.879876,8/13/2018 12:30
"X: -11652613.041041, Y: 4927562.27044616, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CLAWASCO&MTYPE=DISCHRG,CACHE LA POUDRE RIVER AT GREELEY WASTEWATER PLANT,CLAWASCO,301674,,Co. Division of Water Resources,Stream Gage,Stream,Active,DISCHRG,0.47,45.1,CFS,,1,3,WELD,527384,4474726,User supplied,40.42272,-104.677204,8/13/2018 12:30
"X: -11806265.5511366, Y: 4519296.460106, Z: NaN",http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=RIOLINCO&MTYPE=DISCHRG,RIO GRANDE RIVER AT RIO GRANDE-ALAMOSA COUNTY LINE,RIOLINCO,,,Co. Division of Water Resources,,Stream,Active,DISCHRG,1.91,6.4,CFS,,3,20,RIO GRANDE,406619.3,4158978.5,,37.573117,-106.057491,8/13/2018 12:30
"X: -11840687.5747618, Y: 4794748.51186172, Z: NaN",http://waterdata.usgs.gov/nwis/uv?09063000,"EAGLE RIVER AT RED CLIFF, CO.",EAGREDCO,,9063000,U.S. Geological Survey (Data Provider),,Stream,Active,DISCHRG,,13.7,CFS,,5,37,EAGLE,382504.7,4374079.3,User supplied,39.508319,-106.366695,8/13/2018 12:45
